iter	Passed	Remaining
0	35	28312
1	75	30212
2	116	30864
3	155	31001
4	198	31489
5	242	32052
6	283	32094
7	311	30846
8	350	30837
9	390	30829
10	430	30901
11	470	30878
12	510	30876
13	552	30994
14	571	29901
15	609	29865
16	627	28919
17	665	28918
18	707	29101
19	749	29249
20	760	28212
21	800	28292
22	842	28455
23	899	29073
24	940	29143
25	980	29178
26	990	28345
27	1027	28326
28	1067	28379
29	1106	28407
30	1146	28435
31	1186	28474
32	1196	27819
33	1235	27825
34	1273	27840
35	1313	27883
36	1356	27975
37	1397	28018
38	1438	28062
39	1479	28107
40	1494	27668
41	1535	27705
42	1577	27764
43	1588	27289
44	1626	27284
45	1666	27312
46	1707	27358
47	1748	27396
48	1789	27428
49	1830	27453
50	1872	27498
51	1912	27516
52	1954	27540
53	1968	27191
54	2005	27169
55	2046	27182
56	2085	27190
57	2105	26938
58	2144	26934
59	2187	26974
60	2222	26919
61	2263	26942
62	2302	26934
63	2341	26925
64	2359	26681
65	2397	26667
66	2413	26400
67	2450	26381
68	2491	26393
69	2530	26394
70	2571	26400
71	2611	26405
72	2651	26408
73	2692	26414
74	2732	26414
75	2773	26423
76	2814	26427
77	2855	26432
78	2896	26434
79	2936	26427
80	2946	26156
81	2960	25921
82	2998	25902
83	3039	25906
84	3083	25939
85	3126	25957
86	3169	25971
87	3213	25998
88	3254	26001
89	3298	26019
90	3344	26058
91	3385	26053
92	3427	26053
93	3468	26047
94	3508	26040
95	3549	26032
96	3592	26032
97	3632	26019
98	3672	26000
99	3696	25876
100	3736	25856
101	3777	25852
102	3818	25842
103	3862	25846
104	3869	25612
105	3907	25581
106	3948	25573
107	3991	25577
108	4032	25562
109	4051	25412
110	4091	25393
111	4110	25247
112	4148	25218
113	4189	25209
114	4231	25205
115	4273	25196
116	4315	25194
117	4358	25188
118	4400	25184
119	4443	25177
120	4482	25154
121	4523	25140
122	4564	25124
123	4607	25116
124	4626	24983
125	4666	24960
126	4708	24949
127	4750	24939
128	4790	24915
129	4800	24739
130	4839	24713
131	4881	24702
132	4922	24688
133	4962	24662
134	4981	24538
135	5021	24515
136	5065	24514
137	5111	24521
138	5158	24530
139	5204	24535
140	5249	24534
141	5304	24577
142	5355	24605
143	5411	24650
144	5457	24654
145	5506	24665
146	5528	24556
147	5573	24554
148	5626	24583
149	5676	24597
150	5727	24618
151	5775	24622
152	5928	25072
153	5977	25074
154	6025	25072
155	6070	25058
156	6113	25039
157	6156	25015
158	6199	24992
159	6241	24964
160	6269	24885
161	6311	24856
162	6352	24826
163	6393	24792
164	6433	24760
165	6474	24727
166	6517	24704
167	6559	24676
168	6605	24661
169	6649	24643
170	6695	24628
171	6738	24603
172	6779	24572
173	6819	24535
174	6860	24503
175	6902	24471
176	6945	24446
177	6990	24427
178	7033	24402
179	7076	24373
180	7118	24346
181	7162	24321
182	7205	24294
183	7248	24267
184	7290	24235
185	7331	24201
186	7372	24167
187	7415	24138
188	7459	24115
189	7502	24086
190	7547	24064
191	7590	24037
192	7633	24006
193	7676	23979
194	7719	23949
195	7764	23926
196	7808	23900
197	7842	23844
198	7882	23806
199	7923	23771
200	7963	23733
201	8007	23704
202	8050	23674
203	8092	23641
204	8135	23613
205	8179	23586
206	8226	23565
207	8270	23538
208	8312	23506
209	8353	23470
210	8394	23433
211	8436	23399
212	8478	23365
213	8520	23331
214	8565	23305
215	8608	23274
216	8651	23243
217	8696	23216
218	8742	23192
219	8786	23163
220	8826	23125
221	8867	23086
222	8908	23050
223	8948	23011
224	8990	22975
225	9033	22943
226	9075	22908
227	9117	22874
228	9160	22841
229	9204	22810
230	9247	22778
231	9291	22748
232	9336	22719
233	9379	22687
234	9421	22652
235	9455	22597
236	9496	22559
237	9537	22520
238	9578	22482
239	9618	22442
240	9657	22401
241	9698	22361
242	9739	22324
243	9779	22285
244	9819	22245
245	9861	22208
246	9901	22169
247	9942	22129
248	9981	22088
249	10023	22050
250	10063	22011
251	10104	21973
252	10144	21933
253	10185	21894
254	10227	21858
255	10270	21825
256	10316	21796
257	10360	21764
258	10404	21732
259	10446	21697
260	10489	21662
261	10532	21626
262	10575	21594
263	10620	21561
264	10664	21529
265	10711	21502
266	10756	21473
267	10800	21439
268	10843	21405
269	10886	21369
270	10928	21333
271	10970	21295
272	11012	21258
273	11054	21220
274	11093	21178
275	11135	21140
276	11176	21102
277	11221	21069
278	11263	21034
279	11308	21000
280	11351	20965
281	11394	20931
282	11436	20892
283	11476	20852
284	11519	20816
285	11561	20778
286	11602	20739
287	11643	20699
288	11682	20656
289	11722	20615
290	11763	20575
291	11806	20540
292	11852	20508
293	11895	20472
294	11938	20436
295	11981	20401
296	12023	20362
297	12064	20322
298	12104	20282
299	12148	20247
300	12188	20205
301	12230	20167
302	12269	20125
303	12309	20083
304	12347	20039
305	12387	19997
306	12428	19957
307	12469	19918
308	12510	19879
309	12551	19839
310	12593	19800
311	12632	19759
312	12672	19716
313	12712	19676
314	12753	19636
315	12796	19599
316	12836	19558
317	12876	19517
318	12918	19478
319	12958	19438
320	12999	19397
321	13039	19356
322	13084	19323
323	13129	19288
324	13170	19248
325	13211	19209
326	13251	19168
327	13291	19126
328	13332	19087
329	13376	19051
330	13418	19012
331	13459	18972
332	13500	18932
333	13540	18892
334	13582	18852
335	13622	18811
336	13662	18771
337	13703	18730
338	13742	18688
339	13781	18646
340	13821	18603
341	13861	18562
342	13902	18522
343	13942	18481
344	14047	18526
345	14100	18501
346	14148	18470
347	14190	18431
348	14233	18393
349	14276	18355
350	14318	18316
351	14360	18277
352	14401	18236
353	14442	18195
354	14483	18155
355	14524	18114
356	14565	18074
357	14607	18034
358	14648	17994
359	14689	17953
360	14731	17914
361	14815	17925
362	14869	17900
363	14916	17866
364	14960	17830
365	15005	17793
366	15052	17759
367	15096	17721
368	15141	17685
369	15186	17648
370	15229	17610
371	15272	17571
372	15312	17529
373	15353	17488
374	15396	17449
375	15439	17410
376	15483	17372
377	15527	17334
378	15571	17297
379	15617	17261
380	15660	17222
381	15703	17182
382	15743	17141
383	15784	17099
384	15825	17059
385	15865	17016
386	15908	16977
387	15950	16937
388	15994	16898
389	16038	16860
390	16080	16820
391	16123	16781
392	16163	16739
393	16205	16698
394	16245	16656
395	16286	16615
396	16326	16573
397	16370	16534
398	16412	16494
399	16456	16456
400	16498	16416
401	16540	16376
402	16583	16336
403	16623	16294
404	16663	16252
405	16705	16211
406	16747	16171
407	16788	16130
408	16831	16090
409	16873	16050
410	16917	16012
411	16960	15972
412	17003	15933
413	17046	15893
414	17087	15852
415	17128	15811
416	17169	15769
417	17211	15729
418	17251	15686
419	17292	15645
420	17339	15609
421	17389	15576
422	17433	15537
423	17476	15498
424	17520	15459
425	17566	15422
426	17608	15381
427	17648	15339
428	17690	15298
429	17735	15260
430	17779	15221
431	17821	15180
432	17864	15141
433	17906	15100
434	17951	15062
435	17993	15022
436	18034	14980
437	18076	14940
438	18119	14900
439	18161	14859
440	18203	14818
441	18244	14777
442	18285	14735
443	18325	14693
444	18369	14653
445	18412	14614
446	18454	14573
447	18497	14533
448	18539	14493
449	18582	14453
450	18626	14413
451	18667	14372
452	18709	14331
453	18751	14290
454	18791	14248
455	18832	14207
456	18874	14166
457	18914	14124
