fecha,tmed,tmax,tmin,prec,velmedia,racha,sol,hrMedia,temp_categoria,humedad_categoria,viento_categoria,lluvia_categoria,sol_categoria,descripcion_dia
2023-01-01,13.8,20.9,6.6,0.0,1.4,6.7,4.2,53.0,Frío,Húmedo,Brisa,Sin lluvia,Parcialmente soleado,"Frío, Húmedo, Brisa, Sin lluvia, Parcialmente soleado."
2023-01-02,13.7,18.5,8.9,0.2,1.9,6.7,1.3,73.0,Frío,Húmedo,Brisa,Lluvia ligera,Nublado,"Frío, Húmedo, Brisa, Lluvia ligera, Nublado."
2023-01-03,15.0,19.6,10.3,0.0,3.3,8.3,7.8,84.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-01-04,15.6,19.1,12.0,0.0,2.5,8.3,5.3,81.0,Agradable,Húmedo,Brisa,Sin lluvia,Parcialmente soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Parcialmente soleado."
2023-01-05,14.4,17.9,11.0,0.0,2.8,7.2,1.7,81.0,Frío,Húmedo,Brisa,Sin lluvia,Nublado,"Frío, Húmedo, Brisa, Sin lluvia, Nublado."
2023-01-06,13.0,18.2,7.7,0.0,2.5,6.7,6.3,81.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-01-07,14.4,21.0,7.7,0.0,3.6,10.8,7.3,65.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-01-08,14.6,19.2,9.9,0.0,1.4,6.7,2.2,80.0,Frío,Húmedo,Brisa,Sin lluvia,Nublado,"Frío, Húmedo, Brisa, Sin lluvia, Nublado."
2023-01-09,17.2,22.1,12.2,0.0,3.1,10.8,3.9,74.0,Agradable,Húmedo,Brisa,Sin lluvia,Parcialmente soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Parcialmente soleado."
2023-01-10,18.2,21.9,14.6,0.0,4.2,11.4,8.5,63.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-01-11,16.2,19.8,12.6,0.0,10.3,16.4,7.2,64.0,Agradable,Húmedo,Viento moderado,Sin lluvia,Soleado,"Agradable, Húmedo, Viento moderado, Sin lluvia, Soleado."
2023-01-12,14.1,18.9,9.3,0.0,2.8,11.4,8.4,77.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-01-13,14.5,21.4,7.6,0.0,3.9,8.9,7.6,74.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-01-14,12.4,18.2,6.6,0.0,2.8,7.2,7.7,79.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
