fecha,tmed,tmax,tmin,prec,velmedia,racha,sol,hrMedia,temp_categoria,humedad_categoria,lluvia_categoria,cielo_categoria,viento_categoria,descripcion_dia,día,desayunos,almuerzos,cenas,mes,nº se,año
2021-08-29,23.6,28.9,18.2,0.0,3.1,9.7,4.9,66.0,Agradable,Húmedo,Sin lluvia,Parcialmente soleado,Brisa,"Agradable, Húmedo, Brisa, Parcialmente soleado.",Lunes,100.0,61.0,76,8,35,2021
2021-08-30,24.6,28.4,20.9,0.0,3.9,11.7,3.6,74.0,Agradable,Húmedo,Sin lluvia,Parcialmente soleado,Brisa,"Agradable, Húmedo, Brisa, Parcialmente soleado.",Martes,101.0,39.0,42,8,35,2021
2021-08-31,25.1,29.7,20.5,0.0,3.1,7.2,11.5,57.0,Caluroso,Húmedo,Sin lluvia,Soleado,Brisa,"Caluroso, Húmedo, Brisa, Soleado.",Miércoles,80.0,35.0,45,8,35,2021
2021-09-01,25.4,30.3,20.5,0.0,3.6,8.3,11.6,61.0,Caluroso,Húmedo,Sin lluvia,Soleado,Brisa,"Caluroso, Húmedo, Brisa, Soleado.",Jueves,90.0,33.0,64,9,35,2021
2021-09-02,26.7,29.1,24.3,0.0,4.2,9.2,7.5,75.0,Caluroso,Húmedo,Sin lluvia,Soleado,Brisa,"Caluroso, Húmedo, Brisa, Soleado.",Viernes,100.0,40.0,58,9,35,2021
2021-09-03,26.2,29.6,22.9,0.0,4.4,9.2,8.5,67.0,Caluroso,Húmedo,Sin lluvia,Soleado,Brisa,"Caluroso, Húmedo, Brisa, Soleado.",Sábado,134.0,58.0,39,9,35,2021
2021-09-04,29.6,38.0,21.3,0.0,5.3,11.4,11.9,32.0,Caluroso,Humedad normal,Sin lluvia,Soleado,Brisa,"Caluroso, Humedad normal, Brisa, Soleado.",Domingo,100.0,50.0,41,9,36,2021
2021-09-05,26.2,29.6,22.9,0.0,3.1,9.7,9.3,73.0,Caluroso,Húmedo,Sin lluvia,Soleado,Brisa,"Caluroso, Húmedo, Brisa, Soleado.",Lunes,72.0,34.0,62,9,36,2021
2021-09-06,25.6,30.4,20.8,0.0,3.6,7.8,11.7,70.0,Caluroso,Húmedo,Sin lluvia,Soleado,Brisa,"Caluroso, Húmedo, Brisa, Soleado.",Martes,76.0,51.0,56,9,36,2021
2021-09-07,24.0,28.5,19.6,0.0,3.9,9.2,10.9,70.0,Agradable,Húmedo,Sin lluvia,Soleado,Brisa,"Agradable, Húmedo, Brisa, Soleado.",Miércoles,70.0,45.0,40,9,36,2021
2021-09-08,24.2,28.7,19.8,0.0,4.4,8.3,11.0,74.0,Agradable,Húmedo,Sin lluvia,Soleado,Brisa,"Agradable, Húmedo, Brisa, Soleado.",Jueves,64.0,44.0,80,9,36,2021
2021-09-09,26.2,33.8,18.5,0.0,4.7,13.9,7.8,40.0,Caluroso,Humedad normal,Sin lluvia,Soleado,Brisa,"Caluroso, Humedad normal, Brisa, Soleado.",Viernes,107.0,38.0,55,9,36,2021
2021-09-10,26.4,32.9,19.8,0.0,5.8,12.5,11.2,29.0,Caluroso,Humedad normal,Sin lluvia,Soleado,Brisa,"Caluroso, Humedad normal, Brisa, Soleado.",Sábado,130.0,58.0,36,9,36,2021
2021-09-11,22.7,27.6,17.8,0.0,3.9,7.8,11.5,56.0,Agradable,Húmedo,Sin lluvia,Soleado,Brisa,"Agradable, Húmedo, Brisa, Soleado.",Domingo,77.0,28.0,35,9,37,2021
2021-09-12,27.4,35.6,19.2,0.0,2.8,10.8,11.6,52.0,Caluroso,Húmedo,Sin lluvia,Soleado,Brisa,"Caluroso, Húmedo, Brisa, Soleado.",Lunes,77.0,28.0,50,9,37,2021
2021-09-13,24.8,28.8,20.9,0.0,3.6,7.8,11.3,61.0,Agradable,Húmedo,Sin lluvia,Soleado,Brisa,"Agradable, Húmedo, Brisa, Soleado.",Martes,56.0,19.0,35,9,37,2021
2021-09-14,25.6,33.3,17.9,0.0,2.8,9.7,9.3,51.0,Caluroso,Húmedo,Sin lluvia,Soleado,Brisa,"Caluroso, Húmedo, Brisa, Soleado.",Miércoles,89.0,32.0,29,9,37,2021
2021-09-15,27.7,34.1,21.3,0.0,4.7,11.4,9.1,24.0,Caluroso,Humedad normal,Sin lluvia,Soleado,Brisa,"Caluroso, Humedad normal, Brisa, Soleado.",Jueves,97.0,32.0,29,9,37,2021
2021-09-16,23.6,29.6,17.6,0.0,1.9,10.8,11.3,37.0,Agradable,Humedad normal,Sin lluvia,Soleado,Brisa,"Agradable, Humedad normal, Brisa, Soleado.",Viernes,100.0,30.0,50,9,37,2021
2021-09-17,20.2,24.2,16.1,0.0,3.3,7.8,11.3,64.0,Agradable,Húmedo,Sin lluvia,Soleado,Brisa,"Agradable, Húmedo, Brisa, Soleado.",Sábado,122.0,53.0,55,9,37,2021
2021-09-18,25.6,33.5,17.7,0.0,4.4,11.7,11.2,30.0,Caluroso,Humedad normal,Sin lluvia,Soleado,Brisa,"Caluroso, Humedad normal, Brisa, Soleado.",Domingo,141.0,69.0,54,9,38,2021
2021-09-19,23.2,27.8,18.7,0.0,3.3,11.4,11.2,58.0,Agradable,Húmedo,Sin lluvia,Soleado,Brisa,"Agradable, Húmedo, Brisa, Soleado.",Lunes,64.0,48.0,80,9,38,2021
2021-09-20,21.0,26.0,15.9,0.0,3.1,7.8,10.4,71.0,Agradable,Húmedo,Sin lluvia,Soleado,Brisa,"Agradable, Húmedo, Brisa, Soleado.",Martes,73.0,13.0,50,9,38,2021
2021-09-21,21.2,27.7,14.7,0.0,4.2,7.2,10.1,61.0,Agradable,Húmedo,Sin lluvia,Soleado,Brisa,"Agradable, Húmedo, Brisa, Soleado.",Miércoles,77.0,31.0,34,9,38,2021
2021-09-22,21.2,26.8,15.7,0.0,3.3,6.7,10.6,69.0,Agradable,Húmedo,Sin lluvia,Soleado,Brisa,"Agradable, Húmedo, Brisa, Soleado.",Jueves,68.0,14.0,29,9,38,2021
2021-09-23,24.0,27.9,20.1,0.0,3.1,9.2,10.4,68.0,Agradable,Húmedo,Sin lluvia,Soleado,Brisa,"Agradable, Húmedo, Brisa, Soleado.",Viernes,87.0,28.0,43,9,38,2021
2021-09-24,22.4,27.0,17.9,0.0,3.3,7.8,10.8,73.0,Agradable,Húmedo,Sin lluvia,Soleado,Brisa,"Agradable, Húmedo, Brisa, Soleado.",Sábado,109.0,62.0,50,9,38,2021
2021-09-25,25.4,33.5,17.4,0.0,1.9,10.3,10.6,68.0,Caluroso,Húmedo,Sin lluvia,Soleado,Brisa,"Caluroso, Húmedo, Brisa, Soleado.",Domingo,131.0,75.0,56,9,39,2021
2021-09-26,24.0,27.2,20.8,0.0,4.4,11.4,10.2,63.0,Agradable,Húmedo,Sin lluvia,Soleado,Brisa,"Agradable, Húmedo, Brisa, Soleado.",Lunes,64.0,42.0,31,9,39,2021
2021-09-27,23.1,25.5,20.7,1.5,1.4,7.8,0.0,78.0,Agradable,Húmedo,Lluvia notable,Lluvioso,Brisa,"Agradable, Húmedo, Brisa, Lluvioso.",Martes,61.0,33.0,31,9,39,2021
2021-09-28,24.5,27.3,21.7,0.0,1.9,7.2,5.5,71.0,Agradable,Húmedo,Sin lluvia,Parcialmente soleado,Brisa,"Agradable, Húmedo, Brisa, Parcialmente soleado.",Miércoles,81.0,43.0,66,9,39,2021
2021-09-29,23.2,26.8,19.7,0.0,3.1,8.3,10.3,69.0,Agradable,Húmedo,Sin lluvia,Soleado,Brisa,"Agradable, Húmedo, Brisa, Soleado.",Jueves,83.0,44.0,62,9,39,2021
2021-09-30,21.3,25.5,17.1,0.0,4.7,8.3,9.0,77.0,Agradable,Húmedo,Sin lluvia,Soleado,Brisa,"Agradable, Húmedo, Brisa, Soleado.",Viernes,64.0,51.0,62,9,39,2021
2021-10-01,21.6,25.6,17.6,0.0,1.9,7.8,5.6,73.0,Agradable,Húmedo,Sin lluvia,Parcialmente soleado,Brisa,"Agradable, Húmedo, Brisa, Parcialmente soleado.",Sábado,104.0,39.0,46,10,39,2021
2021-10-02,22.4,26.7,18.1,0.0,3.9,7.8,9.9,75.0,Agradable,Húmedo,Sin lluvia,Soleado,Brisa,"Agradable, Húmedo, Brisa, Soleado.",Domingo,150.0,56.0,46,10,40,2021
2021-10-03,22.9,26.5,19.3,0.0,2.2,8.3,10.9,74.0,Agradable,Húmedo,Sin lluvia,Soleado,Brisa,"Agradable, Húmedo, Brisa, Soleado.",Lunes,73.0,14.0,85,10,40,2021
