ABC de Ventas     Del 01/01/2025 al 30/09/2025	ABC de Ventas     Del 01/01/2025 al 30/09/2025	ABC de Ventas     Del 01/01/2025 al 30/09/2025	ABC de Ventas     Del 01/01/2025 al 30/09/2025	ABC de Ventas     Del 01/01/2025 al 30/09/2025	ABC de Ventas     Del 01/01/2025 al 30/09/2025	ABC de Ventas     Del 01/01/2025 al 30/09/2025	ABC de Ventas     Del 01/01/2025 al 30/09/2025	ABC de Ventas     Del 01/01/2025 al 30/09/2025	ABC de Ventas     Del 01/01/2025 al 30/09/2025
Código	Descripción	Unidades	Importe Total	Importe Total  I.I.	% Venta	% Acumu.	Fecha Ult.Vta.	Beneficio B.I.	% Ben.
000211	HAMACA 	"8.814,00"	"50.943,80"	"61.642,00"	"4,98"	"4,98"	30/09/2025	"50.943,80"	"100,00"
000149	CAFÉ CON LECHE	"19.151,00"	"39.653,73"	"43.619,10"	"3,88"	"8,86"	30/09/2025	"39.653,73"	"100,00"
000754	CAÑITA 5 ESTRELLAS	"11.494,00"	"26.956,27"	"29.651,90"	"2,63"	"11,49"	30/09/2025	"26.956,27"	"100,00"
000109	BURGUER LA CHANCLA	"1.655,00"	"20.693,45"	"22.762,80"	"2,02"	"13,51"	30/09/2025	"20.693,45"	"100,00"
000129	MAHOU 33CL	"7.082,00"	"20.278,41"	"22.306,25"	"1,98"	"15,50"	30/09/2025	"20.278,41"	"100,00"
000755	JARRA 5 ESTRELLAS	"5.012,00"	"19.599,14"	"21.559,05"	"1,92"	"17,41"	30/09/2025	"19.599,14"	"100,00"
001849	SOMBRILLA 	"4.330,00"	"17.880,17"	"21.635,00"	"1,75"	"19,16"	30/09/2025	"17.880,17"	"100,00"
000727	WOK  POLLO	"1.427,00"	"17.194,00"	"18.913,40"	"1,68"	"20,84"	30/09/2025	"17.194,00"	"100,00"
001805	PESCADO PLANCHA	"1.214,00"	"17.077,55"	"18.785,30"	"1,67"	"22,51"	30/09/2025	"17.077,55"	"100,00"
001663	ALHAMBRA 1925	"5.154,00"	"16.921,09"	"18.613,20"	"1,65"	"24,16"	30/09/2025	"16.921,09"	"100,00"
001792	Bot. Agua Solan 50cl	"8.734,00"	"16.629,32"	"18.292,25"	"1,63"	"25,79"	30/09/2025	"16.629,32"	"100,00"
000213	CAMA 1 DIA	"562,00"	"16.256,20"	"19.670,00"	"1,59"	"27,38"	28/09/2025	"16.256,20"	"100,00"
000100	SANDWICH CLUB	"1.454,00"	"16.079,36"	"17.687,30"	"1,57"	"28,95"	30/09/2025	"16.079,36"	"100,00"
001660	NACHOS GOURMET	"1.298,00"	"14.504,00"	"15.954,40"	"1,42"	"30,37"	30/09/2025	"14.504,00"	"100,00"
000381	MOJITO	"1.764,00"	"13.408,91"	"14.749,80"	"1,31"	"31,68"	30/09/2025	"13.408,91"	"100,00"
000772	CROQUETAS	"1.113,00"	"12.212,14"	"13.433,35"	"1,19"	"32,87"	30/09/2025	"12.212,14"	"100,00"
001791	Bot. Agua Solan Con Gas 33cl	"5.576,00"	"12.181,82"	"13.400,00"	"1,19"	"34,06"	30/09/2025	"12.181,82"	"100,00"
