Código	Descripción	Unidades	Importe Total	Importe Total  I.I.	% Venta	% Acumu.	Fecha Ult.Vta.	Beneficio B.I.	% Ben.
	Sin Familias								
ç		"84,00"	"-378,51"	"-416,36"	"100,00"	"100,00"	31/07/2025	"-378,51"	"100,00"
001758	Boniato Acomp	"237,00"	"0,00"	"0,00"	"0,00"	"100,00"	31/07/2025	"0,00"	"0,00"
	REFRESCOS								
000001	COCACOLA	"712,00"	"1.040,41"	"1.144,45"	"10,54"	"10,54"	31/07/2025	"1.040,41"	"100,00"
000002	FANTA NARANJA	"154,00"	"262,77"	"289,05"	"2,66"	"13,21"	31/07/2025	"262,77"	"100,00"
000003	COLA ZERO	"666,00"	"1.234,82"	"1.358,30"	"12,51"	"25,72"	31/07/2025	"1.234,82"	"100,00"
000005	LIMONADA	"3,00"	"0,00"	"0,00"	"0,00"	"25,72"	21/07/2025	"0,00"	"0,00"
000010	RED BULL	"23,00"	"39,27"	"43,20"	"0,40"	"26,12"	30/07/2025	"39,27"	"100,00"
000011	NESTEA LIMÓN	"135,00"	"276,14"	"303,75"	"2,80"	"28,92"	31/07/2025	"-9.308,86"	"-3.371,11"
000013	NESTEA  MARACUYÁ	"167,00"	"356,77"	"392,45"	"3,62"	"32,54"	31/07/2025	"356,77"	"100,00"
000015	FANTA LIMÓN	"163,00"	"202,95"	"223,25"	"2,06"	"34,59"	31/07/2025	"202,95"	"100,00"
000016	TÓNICA SCHWEPPES	"595,00"	"303,36"	"333,70"	"3,07"	"37,67"	31/07/2025	"303,36"	"100,00"
000018	CASERA	"10,00"	"21,36"	"23,50"	"0,22"	"37,88"	25/07/2025	"21,36"	"100,00"
000020	AQUARIUS LIMÓN	"98,00"	"209,36"	"230,30"	"2,12"	"40,01"	31/07/2025	"209,36"	"100,00"
000022	BITTER ROSSO	"6,00"	"12,82"	"14,10"	"0,13"	"40,14"	28/07/2025	"12,82"	"100,00"
000024	AQUARIUS NARANJA	"52,00"	"111,09"	"122,20"	"1,13"	"41,26"	29/07/2025	"111,09"	"100,00"
000025	AGUA MEDIANA	"1,00"	"0,00"	"0,00"	"0,00"	"41,26"	29/07/2025	"0,00"	"0,00"
000547	ZUMO DE PIÑA	"55,00"	"104,68"	"115,15"	"1,06"	"42,32"	31/07/2025	"104,68"	"100,00"
000548	ZUMO DE MELOCOTÓN	"23,00"	"49,14"	"54,05"	"0,50"	"42,82"	27/07/2025	"49,14"	"100,00"
000549	ZUMO DE TOMATE	"14,00"	"29,91"	"32,90"	"0,30"	"43,12"	28/07/2025	"29,91"	"100,00"
000560	TONICA FEVER	"18,00"	"2,45"	"2,70"	"0,02"	"43,15"	29/07/2025	"2,45"	"100,00"
000567	BATIDO DE CHOCOLATE	"66,00"	"135,00"	"148,50"	"1,37"	"44,52"	31/07/2025	"135,00"	"100,00"
000583	GINGER ALE	"36,00"	"59,82"	"65,80"	"0,61"	"45,12"	30/07/2025	"59,82"	"100,00"
000584	SODA	"3,00"	"0,00"	"0,00"	"0,00"	"45,12"	18/07/2025	"0,00"	"0,00"
000753	AGUA PARA LLEVAR 0.50 L	"589,00"	"1.146,00"	"1.260,60"	"11,61"	"56,74"	31/07/2025	"1.146,00"	"100,00"
001312	COLA ZERO ZERO	"100,00"	"160,23"	"176,25"	"1,62"	"58,36"	30/07/2025	"160,23"	"100,00"
001420	SEVEN UP	"91,00"	"113,23"	"124,55"	"1,15"	"59,51"	31/07/2025	"113,23"	"100,00"
001442	AGUA PERRIER	"2,00"	"0,00"	"0,00"	"0,00"	"59,51"	25/07/2025	"0,00"	"0,00"
001610	Tonica zero	"52,00"	"0,00"	"0,00"	"0,00"	"59,51"	31/07/2025	"0,00"	"0,00"
001791	Bot. Agua Solan Con Gas 33cl	"666,00"	"1.513,64"	"1.665,00"	"15,34"	"74,85"	31/07/2025	"1.513,64"	"100,00"
001792	Bot. Agua Solan 50cl	"1.210,00"	"2.418,00"	"2.659,80"	"24,51"	"99,36"	31/07/2025	"2.418,00"	"100,00"
001837	TÓNICA ZERO SW	"15,00"	"32,05"	"35,25"	"0,32"	"99,68"	31/07/2025	"32,05"	"100,00"
001838	TÓNICA BERRY SW	"11,00"	"23,50"	"25,85"	"0,24"	"99,92"	31/07/2025	"23,50"	"100,00"
001894	Bot. Agua Solan TIEMPO	"4,00"	"8,00"	"8,80"	"0,08"	"100,00"	29/07/2025	"8,00"	"100,00"
001928	PICOTEO!!!	"7,00"	"0,00"	"0,00"	"0,00"	"100,00"	07/07/2025	"0,00"	"0,00"
	TARTAS Y POSTRES								
000719	GOFRE DE AZUCAR	"10,00"	"38,18"	"42,00"	"2,55"	"2,55"	30/07/2025	"38,18"	"100,00"
000743	TARTA DE ZANAHORIA	"24,00"	"151,64"	"166,80"	"10,13"	"12,68"	30/07/2025	"151,64"	"100,00"
