ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025
Código	Descripción	Unidades	Importe Total	Importe Total  I.I.	% Venta	% Acumu.	Fecha Ult.Vta.	Beneficio B.I.	% Ben.
	Sin Familias								
ç		"44,00"	"-152,58"	"-167,84"	"100,00"	"100,00"	30/06/2025	"-152,58"	"100,00"
001758	Boniato Acomp	"225,00"	"0,00"	"0,00"	"0,00"	"100,00"	30/06/2025	"0,00"	"0,00"
	REFRESCOS								
000001	COCACOLA	"571,00"	"799,00"	"878,90"	"9,44"	"9,44"	30/06/2025	"799,00"	"100,00"
000002	FANTA NARANJA	"122,00"	"202,95"	"223,25"	"2,40"	"11,84"	30/06/2025	"202,95"	"100,00"
000003	COLA ZERO	"673,00"	"1.217,73"	"1.339,50"	"14,39"	"26,22"	30/06/2025	"1.217,73"	"100,00"
000005	LIMONADA	"5,00"	"2,14"	"2,35"	"0,03"	"26,25"	30/06/2025	"2,14"	"100,00"
000007	BATIDO DE FRESA	"1,00"	"2,05"	"2,25"	"0,02"	"26,27"	17/06/2025	"2,05"	"100,00"
000008	COLA LIGHT	"2,00"	"4,27"	"4,70"	"0,05"	"26,32"	10/06/2025	"4,27"	"100,00"
000010	RED BULL	"16,00"	"36,00"	"39,60"	"0,43"	"26,75"	29/06/2025	"36,00"	"100,00"
000011	NESTEA LIMÓN	"88,00"	"180,00"	"198,00"	"2,13"	"28,88"	30/06/2025	"-6.068,00"	"-3.371,11"
000013	NESTEA  MARACUYÁ	"88,00"	"188,00"	"206,80"	"2,22"	"31,10"	30/06/2025	"188,00"	"100,00"
000014	SPRITE	"9,00"	"14,95"	"16,45"	"0,18"	"31,27"	20/06/2025	"14,95"	"100,00"
000015	FANTA LIMÓN	"127,00"	"141,00"	"155,10"	"1,67"	"32,94"	30/06/2025	"141,00"	"100,00"
000016	TÓNICA SCHWEPPES	"511,00"	"239,27"	"263,20"	"2,83"	"35,77"	30/06/2025	"239,27"	"100,00"
000018	CASERA	"11,00"	"23,50"	"25,85"	"0,28"	"36,04"	21/06/2025	"23,50"	"100,00"
000020	AQUARIUS LIMÓN	"79,00"	"164,50"	"180,95"	"1,94"	"37,99"	30/06/2025	"164,50"	"100,00"
000022	BITTER ROSSO	"16,00"	"34,18"	"37,60"	"0,40"	"38,39"	30/06/2025	"34,18"	"100,00"
000024	AQUARIUS NARANJA	"42,00"	"89,73"	"98,70"	"1,06"	"39,45"	29/06/2025	"89,73"	"100,00"
000546	ZUMO DE Manzana (minute maid)	"1,00"	"2,05"	"2,25"	"0,02"	"39,48"	20/06/2025	"2,05"	"100,00"
000547	ZUMO DE PIÑA	"41,00"	"87,59"	"96,35"	"1,03"	"40,51"	30/06/2025	"87,59"	"100,00"
000548	ZUMO DE MELOCOTÓN	"22,00"	"47,00"	"51,70"	"0,56"	"41,07"	28/06/2025	"47,00"	"100,00"
000549	ZUMO DE TOMATE	"31,00"	"66,23"	"72,85"	"0,78"	"41,85"	30/06/2025	"66,23"	"100,00"
000560	TONICA FEVER	"25,00"	"9,82"	"10,80"	"0,12"	"41,96"	30/06/2025	"9,82"	"100,00"
000567	BATIDO DE CHOCOLATE	"39,00"	"77,73"	"85,50"	"0,92"	"42,88"	30/06/2025	"77,73"	"100,00"
000568	BATIDO DE VAINILLA	"1,00"	"2,05"	"2,25"	"0,02"	"42,91"	21/06/2025	"2,05"	"100,00"
000583	GINGER ALE	"23,00"	"38,45"	"42,30"	"0,45"	"43,36"	30/06/2025	"38,45"	"100,00"
000753	AGUA PARA LLEVAR 0.50 L	"321,00"	"614,00"	"675,40"	"7,25"	"50,61"	30/06/2025	"614,00"	"100,00"
001312	COLA ZERO ZERO	"87,00"	"147,41"	"162,15"	"1,74"	"52,36"	30/06/2025	"147,41"	"100,00"
001420	SEVEN UP	"81,00"	"61,95"	"68,15"	"0,73"	"53,09"	30/06/2025	"61,95"	"100,00"
001442	AGUA PERRIER	"1,00"	"0,00"	"0,00"	"0,00"	"53,09"	06/06/2025	"0,00"	"0,00"
001610	Tonica zero	"96,00"	"0,00"	"0,00"	"0,00"	"53,09"	30/06/2025	"0,00"	"0,00"
001791	Bot. Agua Solan Con Gas 33cl	"725,00"	"1.647,73"	"1.812,50"	"19,47"	"72,56"	30/06/2025	"1.647,73"	"100,00"
001792	Bot. Agua Solan 50cl	"1.126,00"	"2.252,00"	"2.477,20"	"26,61"	"99,16"	30/06/2025	"2.252,00"	"100,00"
001837	TÓNICA ZERO SW	"9,00"	"19,23"	"21,15"	"0,23"	"99,39"	26/06/2025	"19,23"	"100,00"
001838	TÓNICA BERRY SW	"13,00"	"27,77"	"30,55"	"0,33"	"99,72"	28/06/2025	"27,77"	"100,00"
001894	Bot. Agua Solan TIEMPO	"12,00"	"24,00"	"26,40"	"0,28"	"100,00"	30/06/2025	"24,00"	"100,00"
001928	PICOTEO!!!	"4,00"	"0,00"	"0,00"	"0,00"	"100,00"	30/06/2025	"0,00"	"0,00"
001929	LIMPIAR!!!	"1,00"	"0,00"	"0,00"	"0,00"	"100,00"	25/06/2025	"0,00"	"0,00"
001940	LEVANTAR MESA	"4,00"	"0,00"	"0,00"	"0,00"	"100,00"	28/06/2025	"0,00"	"0,00"
	TARTAS Y POSTRES								
000719	GOFRE DE AZUCAR	"13,00"	"49,64"	"54,60"	"3,09"	"3,09"	30/06/2025	"49,64"	"100,00"
000743	TARTA DE ZANAHORIA	"34,00"	"214,82"	"236,30"	"13,38"	"16,47"	29/06/2025	"214,82"	"100,00"
000873	TARTA DE CHOCOLATE	"20,00"	"126,36"	"139,00"	"7,87"	"24,34"	30/06/2025	"126,36"	"100,00"
000896	TARTA DE QUESO	"39,00"	"246,41"	"271,05"	"15,34"	"39,68"	30/06/2025	"246,41"	"100,00"
001260	sirope fresa	"4,00"	"0,00"	"0,00"	"0,00"	"39,68"	28/06/2025	"0,00"	"0,00"
001262	sirope chocolate	"3,00"	"0,00"	"0,00"	"0,00"	"39,68"	27/06/2025	"0,00"	"0,00"
001263	nutella	"46,00"	"0,00"	"0,00"	"0,00"	"39,68"	28/06/2025	"0,00"	"0,00"
001331	CREPES	"39,00"	"148,91"	"163,80"	"9,27"	"48,95"	28/06/2025	"148,91"	"100,00"
001354	TARTA DE SNIKER	"4,00"	"25,27"	"27,80"	"1,57"	"50,53"	15/06/2025	"25,27"	"100,00"
001371	BROWNIE CLASICO	"63,00"	"398,05"	"437,85"	"24,79"	"75,31"	30/06/2025	"398,05"	"100,00"
001430	BROWNIE LOTUS	"56,00"	"347,50"	"382,25"	"21,64"	"96,95"	28/06/2025	"347,50"	"100,00"
001473	ALMENDRA CROCANTI	"17,00"	"9,27"	"10,20"	"0,58"	"97,53"	26/06/2025	"9,27"	"100,00"
001625	dulce de leche	"3,00"	"0,00"	"0,00"	"0,00"	"97,53"	30/06/2025	"0,00"	"0,00"
001627	nata	"10,00"	"0,00"	"0,00"	"0,00"	"97,53"	28/06/2025	"0,00"	"0,00"
001631	NUECES	"33,00"	"18,00"	"19,80"	"1,12"	"98,65"	30/06/2025	"18,00"	"100,00"
001633	platano	"9,00"	"4,91"	"5,40"	"0,31"	"98,96"	18/06/2025	"4,91"	"100,00"
001634	fresa	"9,00"	"4,91"	"5,40"	"0,31"	"99,26"	15/06/2025	"4,91"	"100,00"
001635	VAINILLA VERACRUZ	"13,00"	"11,82"	"13,00"	"0,74"	"100,00"	28/06/2025	"11,82"	"100,00"
	COMIDAS Y SNACKS								
000092	ENSALADA CESAR	"104,00"	"1.318,91"	"1.450,80"	"3,32"	"3,32"	30/06/2025	"1.318,91"	"100,00"
000093	ENSALADA CABRA	"110,00"	"1.395,00"	"1.534,50"	"3,51"	"6,82"	30/06/2025	"1.395,00"	"100,00"
000095	ENSALADA TEMPLADA	"67,00"	"910,59"	"1.001,65"	"2,29"	"9,11"	30/06/2025	"910,59"	"100,00"
000097	Ingrediente Extra	"4,00"	"3,64"	"4,00"	"0,01"	"9,12"	18/06/2025	"3,64"	"100,00"
000100	SANDWICH CLUB	"182,00"	"2.142,64"	"2.356,90"	"5,39"	"14,51"	30/06/2025	"2.142,64"	"100,00"
000103	POLLO TIKA MASSALA	"68,00"	"772,73"	"850,00"	"1,94"	"16,46"	30/06/2025	"772,73"	"100,00"
000106	MINI-TORTILLA	"125,00"	"789,77"	"868,75"	"1,99"	"18,44"	30/06/2025	"789,77"	"100,00"
000108	MENU INFANTIL	"66,00"	"510,00"	"561,00"	"1,28"	"19,72"	30/06/2025	"510,00"	"100,00"
000109	BURGUER LA CHANCLA	"174,00"	"2.206,64"	"2.427,30"	"5,55"	"25,27"	30/06/2025	"2.206,64"	"100,00"
000111	PETIT FOIE	"59,00"	"480,05"	"528,05"	"1,21"	"26,48"	30/06/2025	"480,05"	"100,00"
000114	SANDWICH VEGANO	"59,00"	"480,05"	"528,05"	"1,21"	"27,69"	29/06/2025	"480,05"	"100,00"
000121	"HUEVOS, PATATAS, SETAS TRUFA"	"66,00"	"837,00"	"920,70"	"2,10"	"29,79"	30/06/2025	"837,00"	"100,00"
000656	BRAVAS	"177,00"	"1.601,05"	"1.761,15"	"4,03"	"33,82"	30/06/2025	"1.601,05"	"100,00"
000727	WOK  POLLO	"163,00"	"2.067,14"	"2.273,85"	"5,20"	"39,02"	30/06/2025	"2.067,14"	"100,00"
000769	TATAKI DE ATÚN	"65,00"	"1.119,77"	"1.231,75"	"2,82"	"41,83"	30/06/2025	"1.119,77"	"100,00"
000771	MINI-BURGUER CASERA TERNERA	"178,00"	"1.124,64"	"1.237,10"	"2,83"	"44,66"	30/06/2025	"1.124,64"	"100,00"
