ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025
Código	Descripción	Unidades	Importe Total	Importe Total  I.I.	% Venta	% Acumu.	Fecha Ult.Vta.	Beneficio B.I.	% Ben.
	Sin Familias								
ç		"49,00"	"-167,52"	"-184,27"	"100,00"	"100,00"	31/05/2025	"-167,52"	"100,00"
001758	Boniato Acomp	"199,00"	"0,00"	"0,00"	"0,00"	"100,00"	31/05/2025	"0,00"	"0,00"
	REFRESCOS								
000001	COCACOLA	"421,00"	"523,50"	"575,85"	"7,97"	"7,97"	31/05/2025	"523,50"	"100,00"
000002	FANTA NARANJA	"64,00"	"111,95"	"123,15"	"1,70"	"9,67"	31/05/2025	"111,95"	"100,00"
000003	COLA ZERO	"482,00"	"836,36"	"920,00"	"12,73"	"22,40"	31/05/2025	"836,36"	"100,00"
000005	LIMONADA	"13,00"	"4,27"	"4,70"	"0,06"	"22,47"	30/05/2025	"4,27"	"100,00"
000008	COLA LIGHT	"67,00"	"127,27"	"140,00"	"1,94"	"24,41"	30/05/2025	"127,27"	"100,00"
000010	RED BULL	"10,00"	"13,09"	"14,40"	"0,20"	"24,61"	31/05/2025	"13,09"	"100,00"
000011	NESTEA LIMÓN	"80,00"	"163,64"	"180,00"	"2,49"	"27,10"	31/05/2025	"-5.516,36"	"-3.371,11"
000013	NESTEA  MARACUYÁ	"68,00"	"142,73"	"157,00"	"2,17"	"29,27"	31/05/2025	"142,73"	"100,00"
000014	SPRITE	"15,00"	"31,59"	"34,75"	"0,48"	"29,75"	31/05/2025	"31,59"	"100,00"
000015	FANTA LIMÓN	"89,00"	"92,82"	"102,10"	"1,41"	"31,16"	31/05/2025	"92,82"	"100,00"
000016	TÓNICA SCHWEPPES	"592,00"	"264,55"	"291,00"	"4,03"	"35,19"	31/05/2025	"264,55"	"100,00"
000018	CASERA	"3,00"	"6,41"	"7,05"	"0,10"	"35,29"	30/05/2025	"6,41"	"100,00"
000020	AQUARIUS LIMÓN	"61,00"	"128,23"	"141,05"	"1,95"	"37,24"	31/05/2025	"128,23"	"100,00"
000022	BITTER ROSSO	"11,00"	"22,95"	"25,25"	"0,35"	"37,59"	25/05/2025	"22,95"	"100,00"
000024	AQUARIUS NARANJA	"49,00"	"103,50"	"113,85"	"1,58"	"39,16"	31/05/2025	"103,50"	"100,00"
000025	AGUA MEDIANA	"4,00"	"0,00"	"0,00"	"0,00"	"39,16"	26/05/2025	"0,00"	"0,00"
000546	ZUMO DE Manzana (minute maid)	"6,00"	"12,27"	"13,50"	"0,19"	"39,35"	28/05/2025	"12,27"	"100,00"
000547	ZUMO DE PIÑA	"28,00"	"56,41"	"62,05"	"0,86"	"40,21"	28/05/2025	"56,41"	"100,00"
000548	ZUMO DE MELOCOTÓN	"9,00"	"18,68"	"20,55"	"0,28"	"40,49"	31/05/2025	"18,68"	"100,00"
000549	ZUMO DE TOMATE	"20,00"	"42,09"	"46,30"	"0,64"	"41,13"	31/05/2025	"42,09"	"100,00"
000560	TONICA FEVER	"26,00"	"12,27"	"13,50"	"0,19"	"41,32"	31/05/2025	"12,27"	"100,00"
000567	BATIDO DE CHOCOLATE	"44,00"	"90,00"	"99,00"	"1,37"	"42,69"	31/05/2025	"90,00"	"100,00"
000568	BATIDO DE VAINILLA	"1,00"	"2,05"	"2,25"	"0,03"	"42,72"	03/05/2025	"2,05"	"100,00"
000583	GINGER ALE	"13,00"	"21,09"	"23,20"	"0,32"	"43,04"	29/05/2025	"21,09"	"100,00"
000584	SODA	"3,00"	"2,05"	"2,25"	"0,03"	"43,08"	28/05/2025	"2,05"	"100,00"
000753	AGUA PARA LLEVAR 0.50 L	"194,00"	"368,82"	"405,70"	"5,61"	"48,69"	31/05/2025	"368,82"	"100,00"
001312	COLA ZERO ZERO	"89,00"	"130,55"	"143,60"	"1,99"	"50,68"	31/05/2025	"130,55"	"100,00"
001420	SEVEN UP	"58,00"	"16,82"	"18,50"	"0,26"	"50,93"	31/05/2025	"16,82"	"100,00"
001442	AGUA PERRIER	"2,00"	"0,00"	"0,00"	"0,00"	"50,93"	18/05/2025	"0,00"	"0,00"
001610	Tonica zero	"66,00"	"0,00"	"0,00"	"0,00"	"50,93"	31/05/2025	"0,00"	"0,00"
001791	Bot. Agua Solan Con Gas 33cl	"587,00"	"1.289,09"	"1.418,00"	"19,62"	"70,56"	31/05/2025	"1.289,09"	"100,00"
001792	Bot. Agua Solan 50cl	"973,00"	"1.860,00"	"2.046,00"	"28,31"	"98,87"	31/05/2025	"1.860,00"	"100,00"
001837	TÓNICA ZERO SW	"9,00"	"18,82"	"20,70"	"0,29"	"99,16"	30/05/2025	"18,82"	"100,00"
001838	TÓNICA BERRY SW	"18,00"	"37,50"	"41,25"	"0,57"	"99,73"	24/05/2025	"37,50"	"100,00"
001894	Bot. Agua Solan TIEMPO	"9,00"	"18,00"	"19,80"	"0,27"	"100,00"	30/05/2025	"18,00"	"100,00"
	TARTAS Y POSTRES								
000719	GOFRE DE AZUCAR	"13,00"	"49,64"	"54,60"	"3,06"	"3,06"	29/05/2025	"49,64"	"100,00"
000743	TARTA DE ZANAHORIA	"37,00"	"225,59"	"248,15"	"13,92"	"16,98"	31/05/2025	"225,59"	"100,00"
000873	TARTA DE CHOCOLATE	"16,00"	"98,64"	"108,50"	"6,09"	"23,07"	23/05/2025	"98,64"	"100,00"
000896	TARTA DE QUESO	"47,00"	"288,36"	"317,20"	"17,79"	"40,86"	31/05/2025	"288,36"	"100,00"
001260	sirope fresa	"1,00"	"0,00"	"0,00"	"0,00"	"40,86"	18/05/2025	"0,00"	"0,00"
001261	sirope caramelo	"2,00"	"0,00"	"0,00"	"0,00"	"40,86"	05/05/2025	"0,00"	"0,00"
001262	sirope chocolate	"8,00"	"0,00"	"0,00"	"0,00"	"40,86"	29/05/2025	"0,00"	"0,00"
001263	nutella	"36,00"	"0,00"	"0,00"	"0,00"	"40,86"	31/05/2025	"0,00"	"0,00"
001331	CREPES	"43,00"	"164,18"	"180,60"	"10,13"	"50,99"	31/05/2025	"164,18"	"100,00"
001354	TARTA DE SNIKER	"14,00"	"86,41"	"95,05"	"5,33"	"56,32"	31/05/2025	"86,41"	"100,00"
001371	BROWNIE CLASICO	"55,00"	"342,59"	"376,85"	"21,14"	"77,46"	31/05/2025	"342,59"	"100,00"
001430	BROWNIE LOTUS	"52,00"	"317,50"	"349,25"	"19,59"	"97,05"	31/05/2025	"317,50"	"100,00"
001473	ALMENDRA CROCANTI	"25,00"	"12,55"	"13,80"	"0,77"	"97,82"	26/05/2025	"12,55"	"100,00"
001625	dulce de leche	"2,00"	"0,00"	"0,00"	"0,00"	"97,82"	28/05/2025	"0,00"	"0,00"
001627	nata	"7,00"	"0,00"	"0,00"	"0,00"	"97,82"	19/05/2025	"0,00"	"0,00"
001629	Barquillo	"1,00"	"0,36"	"0,40"	"0,02"	"97,85"	12/05/2025	"0,36"	"100,00"
001631	NUECES	"40,00"	"19,64"	"21,60"	"1,21"	"99,06"	29/05/2025	"19,64"	"100,00"
001632	almendra crocanti	"1,00"	"0,55"	"0,60"	"0,03"	"99,09"	12/05/2025	"0,55"	"100,00"
001633	platano	"4,00"	"2,18"	"2,40"	"0,13"	"99,23"	18/05/2025	"2,18"	"100,00"
001634	fresa	"8,00"	"4,36"	"4,80"	"0,27"	"99,50"	27/05/2025	"4,36"	"100,00"
001635	VAINILLA VERACRUZ	"9,00"	"8,18"	"9,00"	"0,50"	"100,00"	28/05/2025	"8,18"	"100,00"
	COMIDAS Y SNACKS								
000092	ENSALADA CESAR	"115,00"	"1.362,64"	"1.498,90"	"3,68"	"3,68"	31/05/2025	"1.362,64"	"100,00"
000093	ENSALADA CABRA	"125,00"	"1.473,86"	"1.621,25"	"3,98"	"7,66"	31/05/2025	"1.473,86"	"100,00"
000095	ENSALADA TEMPLADA	"78,00"	"984,36"	"1.082,80"	"2,66"	"10,32"	31/05/2025	"984,36"	"100,00"
000097	Ingrediente Extra	"6,00"	"5,45"	"6,00"	"0,01"	"10,34"	31/05/2025	"5,45"	"100,00"
000100	SANDWICH CLUB	"186,00"	"2.058,82"	"2.264,70"	"5,56"	"15,90"	31/05/2025	"2.058,82"	"100,00"
000103	POLLO TIKA MASSALA	"72,00"	"765,45"	"842,00"	"2,07"	"17,96"	31/05/2025	"765,45"	"100,00"
000106	MINI-TORTILLA	"92,00"	"581,27"	"639,40"	"1,57"	"19,53"	31/05/2025	"581,27"	"100,00"
000108	MENU INFANTIL	"43,00"	"332,27"	"365,50"	"0,90"	"20,43"	31/05/2025	"332,27"	"100,00"
000109	BURGUER LA CHANCLA	"204,00"	"2.561,32"	"2.817,45"	"6,92"	"27,35"	31/05/2025	"2.561,32"	"100,00"
000111	PETIT FOIE	"32,00"	"249,45"	"274,40"	"0,67"	"28,02"	31/05/2025	"249,45"	"100,00"
000114	SANDWICH VEGANO	"36,00"	"292,91"	"322,20"	"0,79"	"28,82"	31/05/2025	"292,91"	"100,00"
000121	"HUEVOS, PATATAS, SETAS TRUFA"	"49,00"	"597,77"	"657,55"	"1,61"	"30,43"	31/05/2025	"597,77"	"100,00"
000656	BRAVAS	"134,00"	"1.171,18"	"1.288,30"	"3,16"	"33,59"	31/05/2025	"1.171,18"	"100,00"
000727	WOK  POLLO	"150,00"	"1.823,18"	"2.005,50"	"4,92"	"38,52"	31/05/2025	"1.823,18"	"100,00"
000769	TATAKI DE ATÚN	"53,00"	"893,95"	"983,35"	"2,41"	"40,93"	31/05/2025	"893,95"	"100,00"
000771	MINI-BURGUER CASERA TERNERA	"158,00"	"937,36"	"1.031,10"	"2,53"	"43,47"	31/05/2025	"937,36"	"100,00"
