ABC de Ventas     Del 01/09/2025 al 30/09/2025	ABC de Ventas     Del 01/09/2025 al 30/09/2025	ABC de Ventas     Del 01/09/2025 al 30/09/2025	ABC de Ventas     Del 01/09/2025 al 30/09/2025	ABC de Ventas     Del 01/09/2025 al 30/09/2025	ABC de Ventas     Del 01/09/2025 al 30/09/2025	ABC de Ventas     Del 01/09/2025 al 30/09/2025	ABC de Ventas     Del 01/09/2025 al 30/09/2025	ABC de Ventas     Del 01/09/2025 al 30/09/2025	ABC de Ventas     Del 01/09/2025 al 30/09/2025
Código	Descripción	Unidades	Importe Total	Importe Total  I.I.	% Venta	% Acumu.	Fecha Ult.Vta.	Beneficio B.I.	% Ben.
	Sin Familias								
ç		"78,00"	"-611,18"	"-672,30"	"100,00"	"100,00"	30/09/2025	"-611,18"	"100,00"
001758	Boniato Acomp	"177,00"	"0,00"	"0,00"	"0,00"	"100,00"	30/09/2025	"0,00"	"0,00"
	REFRESCOS								
000001	COCACOLA	"422,00"	"677,23"	"744,95"	"8,79"	"8,79"	30/09/2025	"677,23"	"100,00"
000002	FANTA NARANJA	"63,00"	"121,77"	"133,95"	"1,58"	"10,37"	30/09/2025	"121,77"	"100,00"
000003	COLA ZERO	"543,00"	"1.057,50"	"1.163,25"	"13,73"	"24,10"	30/09/2025	"1.057,50"	"100,00"
000005	LIMONADA	"2,00"	"0,00"	"0,00"	"0,00"	"24,10"	24/09/2025	"0,00"	"0,00"
000010	RED BULL	"6,00"	"6,55"	"7,20"	"0,09"	"24,18"	23/09/2025	"6,55"	"100,00"
000011	NESTEA LIMÓN	"85,00"	"179,77"	"197,75"	"2,33"	"26,51"	29/09/2025	"-5.855,23"	"-3.257,02"
000013	NESTEA  MARACUYÁ	"71,00"	"151,68"	"166,85"	"1,97"	"28,48"	30/09/2025	"151,68"	"100,00"
000014	SPRITE	"6,00"	"0,00"	"0,00"	"0,00"	"28,48"	21/09/2025	"0,00"	"0,00"
000015	FANTA LIMÓN	"86,00"	"100,41"	"110,45"	"1,30"	"29,79"	30/09/2025	"100,41"	"100,00"
000016	TÓNICA SCHWEPPES	"477,00"	"183,73"	"202,10"	"2,38"	"32,17"	30/09/2025	"183,73"	"100,00"
000018	CASERA	"4,00"	"8,55"	"9,40"	"0,11"	"32,28"	26/09/2025	"8,55"	"100,00"
000020	AQUARIUS LIMÓN	"66,00"	"141,00"	"155,10"	"1,83"	"34,11"	30/09/2025	"141,00"	"100,00"
000022	BITTER ROSSO	"9,00"	"19,23"	"21,15"	"0,25"	"34,36"	30/09/2025	"19,23"	"100,00"
000024	AQUARIUS NARANJA	"57,00"	"121,77"	"133,95"	"1,58"	"35,94"	30/09/2025	"121,77"	"100,00"
000546	ZUMO DE Manzana (minute maid)	"8,00"	"16,36"	"18,00"	"0,21"	"36,15"	27/09/2025	"16,36"	"100,00"
000547	ZUMO DE PIÑA	"20,00"	"40,59"	"44,65"	"0,53"	"36,68"	28/09/2025	"40,59"	"100,00"
000548	ZUMO DE MELOCOTÓN	"9,00"	"19,23"	"21,15"	"0,25"	"36,93"	28/09/2025	"19,23"	"100,00"
000549	ZUMO DE TOMATE	"17,00"	"36,32"	"39,95"	"0,47"	"37,40"	28/09/2025	"36,32"	"100,00"
000560	TONICA FEVER	"18,00"	"7,36"	"8,10"	"0,10"	"37,50"	28/09/2025	"7,36"	"100,00"
000567	BATIDO DE CHOCOLATE	"49,00"	"100,23"	"110,25"	"1,30"	"38,80"	30/09/2025	"100,23"	"100,00"
000583	GINGER ALE	"11,00"	"14,95"	"16,45"	"0,19"	"38,99"	30/09/2025	"14,95"	"100,00"
000753	AGUA PARA LLEVAR 0.50 L	"343,00"	"666,00"	"732,60"	"8,64"	"47,64"	30/09/2025	"666,00"	"100,00"
001312	COLA ZERO ZERO	"78,00"	"132,45"	"145,70"	"1,72"	"49,36"	30/09/2025	"132,45"	"100,00"
001420	SEVEN UP	"53,00"	"61,95"	"68,15"	"0,80"	"50,16"	27/09/2025	"61,95"	"100,00"
001442	AGUA PERRIER	"5,00"	"0,00"	"0,00"	"0,00"	"50,16"	29/09/2025	"0,00"	"0,00"
001610	Tonica zero	"14,00"	"0,00"	"0,00"	"0,00"	"50,16"	29/09/2025	"0,00"	"0,00"
001791	Bot. Agua Solan Con Gas 33cl	"870,00"	"1.975,00"	"2.172,50"	"25,63"	"75,80"	30/09/2025	"1.975,00"	"100,00"
001792	Bot. Agua Solan 50cl	"914,00"	"1.820,00"	"2.002,00"	"23,62"	"99,42"	30/09/2025	"1.820,00"	"100,00"
001837	TÓNICA ZERO SW	"7,00"	"14,95"	"16,45"	"0,19"	"99,61"	30/09/2025	"14,95"	"100,00"
001838	TÓNICA BERRY SW	"18,00"	"29,91"	"32,90"	"0,39"	"100,00"	28/09/2025	"29,91"	"100,00"
	TARTAS Y POSTRES								
000719	GOFRE DE AZUCAR	"22,00"	"84,00"	"92,40"	"5,96"	"5,96"	30/09/2025	"84,00"	"100,00"
000743	TARTA DE ZANAHORIA	"21,00"	"132,68"	"145,95"	"9,42"	"15,38"	30/09/2025	"132,68"	"100,00"
000873	TARTA DE CHOCOLATE	"14,00"	"88,45"	"97,30"	"6,28"	"21,66"	29/09/2025	"88,45"	"100,00"
000896	TARTA DE QUESO	"28,00"	"176,91"	"194,60"	"12,56"	"34,22"	30/09/2025	"176,91"	"100,00"
001260	sirope fresa	"2,00"	"0,00"	"0,00"	"0,00"	"34,22"	04/09/2025	"0,00"	"0,00"
001261	sirope caramelo	"1,00"	"0,00"	"0,00"	"0,00"	"34,22"	23/09/2025	"0,00"	"0,00"
001262	sirope chocolate	"1,00"	"0,00"	"0,00"	"0,00"	"34,22"	20/09/2025	"0,00"	"0,00"
001263	nutella	"50,00"	"0,00"	"0,00"	"0,00"	"34,22"	30/09/2025	"0,00"	"0,00"
001307	leche condensada	"2,00"	"0,00"	"0,00"	"0,00"	"34,22"	21/09/2025	"0,00"	"0,00"
001331	CREPES	"38,00"	"145,09"	"159,60"	"10,30"	"44,52"	29/09/2025	"145,09"	"100,00"
001354	TARTA DE SNIKER	"11,00"	"69,50"	"76,45"	"4,93"	"49,45"	30/09/2025	"69,50"	"100,00"
001371	BROWNIE CLASICO	"73,00"	"454,91"	"500,40"	"32,29"	"81,74"	28/09/2025	"454,91"	"100,00"
001430	BROWNIE LOTUS	"33,00"	"208,50"	"229,35"	"14,80"	"96,54"	30/09/2025	"208,50"	"100,00"
001473	ALMENDRA CROCANTI	"17,00"	"9,27"	"10,20"	"0,66"	"97,20"	28/09/2025	"9,27"	"100,00"
001625	dulce de leche	"2,00"	"0,00"	"0,00"	"0,00"	"97,20"	09/09/2025	"0,00"	"0,00"
001626	chocolate blanco	"1,00"	"0,00"	"0,00"	"0,00"	"97,20"	12/09/2025	"0,00"	"0,00"
001627	nata	"7,00"	"0,00"	"0,00"	"0,00"	"97,20"	28/09/2025	"0,00"	"0,00"
001631	NUECES	"32,00"	"17,45"	"19,20"	"1,24"	"98,44"	30/09/2025	"17,45"	"100,00"
001632	almendra crocanti	"2,00"	"1,09"	"1,20"	"0,08"	"98,52"	16/09/2025	"1,09"	"100,00"
001633	platano	"8,00"	"4,36"	"4,80"	"0,31"	"98,83"	29/09/2025	"4,36"	"100,00"
001634	fresa	"17,00"	"9,27"	"10,20"	"0,66"	"99,48"	29/09/2025	"9,27"	"100,00"
001635	VAINILLA VERACRUZ	"8,00"	"7,27"	"8,00"	"0,52"	"100,00"	28/09/2025	"7,27"	"100,00"
	COMIDAS Y SNACKS								
000092	ENSALADA CESAR	"103,00"	"1.306,23"	"1.436,85"	"3,84"	"3,84"	30/09/2025	"1.306,23"	"100,00"
000093	ENSALADA CABRA	"124,00"	"1.572,55"	"1.729,80"	"4,62"	"8,45"	30/09/2025	"1.572,55"	"100,00"
000095	ENSALADA TEMPLADA	"76,00"	"1.032,91"	"1.136,20"	"3,03"	"11,49"	30/09/2025	"1.032,91"	"100,00"
000097	Ingrediente Extra	"1,00"	"0,91"	"1,00"	"0,00"	"11,49"	14/09/2025	"0,91"	"100,00"
000100	SANDWICH CLUB	"137,00"	"1.612,86"	"1.774,15"	"4,74"	"16,23"	30/09/2025	"1.612,86"	"100,00"
000103	POLLO TIKA MASSALA	"78,00"	"886,36"	"975,00"	"2,60"	"18,83"	30/09/2025	"886,36"	"100,00"
000106	MINI-TORTILLA	"104,00"	"657,09"	"722,80"	"1,93"	"20,76"	30/09/2025	"657,09"	"100,00"
000108	MENU INFANTIL	"29,00"	"224,09"	"246,50"	"0,66"	"21,42"	30/09/2025	"224,09"	"100,00"
000109	BURGUER LA CHANCLA	"139,00"	"1.762,77"	"1.939,05"	"5,18"	"26,60"	30/09/2025	"1.762,77"	"100,00"
000111	PETIT FOIE	"41,00"	"333,59"	"366,95"	"0,98"	"27,58"	27/09/2025	"333,59"	"100,00"
000114	SANDWICH VEGANO	"39,00"	"317,32"	"349,05"	"0,93"	"28,51"	30/09/2025	"317,32"	"100,00"
000121	"HUEVOS, PATATAS, SETAS TRUFA"	"35,00"	"443,86"	"488,25"	"1,30"	"29,81"	30/09/2025	"443,86"	"100,00"
000656	BRAVAS	"143,00"	"1.293,50"	"1.422,85"	"3,80"	"33,61"	30/09/2025	"1.293,50"	"100,00"
000727	WOK  POLLO	"151,00"	"1.914,95"	"2.106,45"	"5,62"	"39,24"	30/09/2025	"1.914,95"	"100,00"
000769	TATAKI DE ATÚN	"57,00"	"981,95"	"1.080,15"	"2,88"	"42,12"	30/09/2025	"981,95"	"100,00"
000771	MINI-BURGUER CASERA TERNERA	"157,00"	"991,95"	"1.091,15"	"2,91"	"45,03"	30/09/2025	"991,95"	"100,00"
000772	CROQUETAS	"121,00"	"1.424,50"	"1.566,95"	"4,18"	"49,22"	30/09/2025	"1.424,50"	"100,00"
000876	ENSALADILLA RUSA	"85,00"	"1.000,68"	"1.100,75"	"2,94"	"52,16"	30/09/2025	"1.000,68"	"100,00"
001200	TARTAR DE ATUN ROJO	"51,00"	"785,86"	"864,45"	"2,31"	"54,46"	28/09/2025	"785,86"	"100,00"
