ID,Código,Descripción,Familia,Unidades,Importe Total (€),Precio por unidad (€)
1,001758,Boniato Acomp,SIN FAMILIA,177.0,0.0,0.0
2,000001,COCACOLA,REFRESCOS,422.0,677.23,1.605
3,000002,FANTA NARANJA,REFRESCOS,63.0,121.77,1.933
4,000003,COLA ZERO,REFRESCOS,543.0,1057.5,1.948
5,000005,LIMONADA,REFRESCOS,2.0,0.0,0.0
6,000010,RED BULL,REFRESCOS,6.0,6.55,1.092
7,000011,NESTEA LIMÓN,REFRESCOS,85.0,179.77,2.115
8,000013,NESTEA  MARACUYÁ,REFRESCOS,71.0,151.68,2.136
9,000014,SPRITE,REFRESCOS,6.0,0.0,0.0
10,000015,FANTA LIMÓN,REFRESCOS,86.0,100.41,1.168
11,000016,TÓNICA SCHWEPPES,REFRESCOS,477.0,183.73,0.385
12,000018,CASERA,REFRESCOS,4.0,8.55,2.138
13,000020,AQUARIUS LIMÓN,REFRESCOS,66.0,141.0,2.136
14,000022,BITTER ROSSO,REFRESCOS,9.0,19.23,2.137
15,000024,AQUARIUS NARANJA,REFRESCOS,57.0,121.77,2.136
16,000546,ZUMO DE Manzana (minute maid),REFRESCOS,8.0,16.36,2.045
17,000547,ZUMO DE PIÑA,REFRESCOS,20.0,40.59,2.03
18,000548,ZUMO DE MELOCOTÓN,REFRESCOS,9.0,19.23,2.137
19,000549,ZUMO DE TOMATE,REFRESCOS,17.0,36.32,2.136
20,000560,TONICA FEVER,REFRESCOS,18.0,7.36,0.409
21,000567,BATIDO DE CHOCOLATE,REFRESCOS,49.0,100.23,2.046
22,000583,GINGER ALE,REFRESCOS,11.0,14.95,1.359
23,000753,AGUA PARA LLEVAR 0.50 L,REFRESCOS,343.0,666.0,1.942
24,001312,COLA ZERO ZERO,REFRESCOS,78.0,132.45,1.698
25,001420,SEVEN UP,REFRESCOS,53.0,61.95,1.169
26,001442,AGUA PERRIER,REFRESCOS,5.0,0.0,0.0
27,001610,Tonica zero,REFRESCOS,14.0,0.0,0.0
28,001791,Bot. Agua Solan Con Gas 33cl,REFRESCOS,870.0,1975.0,2.27
29,001792,Bot. Agua Solan 50cl,REFRESCOS,914.0,1820.0,1.991
30,001837,TÓNICA ZERO SW,REFRESCOS,7.0,14.95,2.136
31,001838,TÓNICA BERRY SW,REFRESCOS,18.0,29.91,1.662
32,000719,GOFRE DE AZUCAR,TARTAS Y POSTRES,22.0,84.0,3.818
33,000743,TARTA DE ZANAHORIA,TARTAS Y POSTRES,21.0,132.68,6.318
34,000873,TARTA DE CHOCOLATE,TARTAS Y POSTRES,14.0,88.45,6.318
35,000896,TARTA DE QUESO,TARTAS Y POSTRES,28.0,176.91,6.318
36,001260,sirope fresa,TARTAS Y POSTRES,2.0,0.0,0.0
37,001261,sirope caramelo,TARTAS Y POSTRES,1.0,0.0,0.0
38,001262,sirope chocolate,TARTAS Y POSTRES,1.0,0.0,0.0
39,001263,nutella,TARTAS Y POSTRES,50.0,0.0,0.0
40,001307,leche condensada,TARTAS Y POSTRES,2.0,0.0,0.0
41,001331,CREPES,TARTAS Y POSTRES,38.0,145.09,3.818
42,001354,TARTA DE SNIKER,TARTAS Y POSTRES,11.0,69.5,6.318
43,001371,BROWNIE CLASICO,TARTAS Y POSTRES,73.0,454.91,6.232
44,001430,BROWNIE LOTUS,TARTAS Y POSTRES,33.0,208.5,6.318
45,001473,ALMENDRA CROCANTI,TARTAS Y POSTRES,17.0,9.27,0.545
46,001625,dulce de leche,TARTAS Y POSTRES,2.0,0.0,0.0
47,001626,chocolate blanco,TARTAS Y POSTRES,1.0,0.0,0.0
48,001627,nata,TARTAS Y POSTRES,7.0,0.0,0.0
49,001631,NUECES,TARTAS Y POSTRES,32.0,17.45,0.545
50,001632,almendra crocanti,TARTAS Y POSTRES,2.0,1.09,0.545
51,001633,platano,TARTAS Y POSTRES,8.0,4.36,0.545
52,001634,fresa,TARTAS Y POSTRES,17.0,9.27,0.545
53,001635,VAINILLA VERACRUZ,TARTAS Y POSTRES,8.0,7.27,0.909
54,000092,ENSALADA CESAR,COMIDAS Y SNACKS,103.0,1306.23,12.682
55,000093,ENSALADA CABRA,COMIDAS Y SNACKS,124.0,1572.55,12.682
56,000095,ENSALADA TEMPLADA,COMIDAS Y SNACKS,76.0,1032.91,13.591
57,000097,Ingrediente Extra,COMIDAS Y SNACKS,1.0,0.91,0.91
58,000100,SANDWICH CLUB,COMIDAS Y SNACKS,137.0,1612.86,11.773
59,000103,POLLO TIKA MASSALA,COMIDAS Y SNACKS,78.0,886.36,11.364
60,000106,MINI-TORTILLA,COMIDAS Y SNACKS,104.0,657.09,6.318
61,000108,MENU INFANTIL,COMIDAS Y SNACKS,29.0,224.09,7.727
62,000109,BURGUER LA CHANCLA,COMIDAS Y SNACKS,139.0,1762.77,12.682
63,000111,PETIT FOIE,COMIDAS Y SNACKS,41.0,333.59,8.136
64,000114,SANDWICH VEGANO,COMIDAS Y SNACKS,39.0,317.32,8.136
65,000121,"""HUEVOS, PATATAS, SETAS TRUFA""",COMIDAS Y SNACKS,35.0,443.86,12.682
66,000656,BRAVAS,COMIDAS Y SNACKS,143.0,1293.5,9.045
67,000727,WOK  POLLO,COMIDAS Y SNACKS,151.0,1914.95,12.682
68,000769,TATAKI DE ATÚN,COMIDAS Y SNACKS,57.0,981.95,17.227
69,000771,MINI-BURGUER CASERA TERNERA,COMIDAS Y SNACKS,157.0,991.95,6.318
70,000772,CROQUETAS,COMIDAS Y SNACKS,121.0,1424.5,11.773
71,000876,ENSALADILLA RUSA,COMIDAS Y SNACKS,85.0,1000.68,11.773
72,001200,TARTAR DE ATUN ROJO,COMIDAS Y SNACKS,51.0,785.86,15.409
73,001214,PAN,COMIDAS Y SNACKS,72.0,45.82,0.636
74,001242,PIMIENTOS DEL PADRON,COMIDAS Y SNACKS,88.0,556.0,6.318
75,001243,SOPA FRIA,COMIDAS Y SNACKS,16.0,115.64,7.228
76,001257,salsa casera,COMIDAS Y SNACKS,125.0,56.82,0.455
77,001259,arroz extra,COMIDAS Y SNACKS,7.0,19.09,2.727
78,001264,ensalada extra,COMIDAS Y SNACKS,19.0,34.55,1.818
79,001343,patatas extra,COMIDAS Y SNACKS,55.0,150.0,2.727
80,001386,ENSALADA REFRESCANTE,COMIDAS Y SNACKS,74.0,938.45,12.682
81,001389,WOK SALMON,COMIDAS Y SNACKS,79.0,1073.68,13.591
82,001506,MAYONESA,COMIDAS Y SNACKS,93.0,16.91,0.182
83,001511,KETCHUP,COMIDAS Y SNACKS,7.0,2.55,0.364
84,001601,nachos,COMIDAS Y SNACKS,46.0,0.0,0.0
85,001613,patatas baston,COMIDAS Y SNACKS,338.0,0.0,0.0
86,001617,WOK VEGANO,COMIDAS Y SNACKS,34.0,324.55,9.546
87,001649,NUTELLA,COMIDAS Y SNACKS,37.0,32.73,0.885
88,001660,NACHOS GOURMET,COMIDAS Y SNACKS,153.0,1738.64,11.364
89,001711,CRISPY CHICKEN,COMIDAS Y SNACKS,102.0,922.64,9.045
90,001768,COSTILLA DE CERDO,COMIDAS Y SNACKS,71.0,1029.5,14.5
91,001798,REBANÁ,COMIDAS Y SNACKS,32.0,289.45,9.045
92,001799,POLLO CAJÚN,COMIDAS Y SNACKS,127.0,1148.77,9.045
93,001800,BASTONES DE BONIATO,COMIDAS Y SNACKS,117.0,845.59,7.227
