Código,Descripción,Unidades,Importe Total,Importe Total  I.I.,% Venta,% Acumu.,Fecha Ult.Vta.,Beneficio B.I.,% Ben.
211,HAMACA,8635,49914.05,60396,6.02,6.02,09/26/2025,49914.05,100
149,CAFÉ CON LECHE,13661,28677,31544.7,3.46,9.48,09/26/2025,28677,100
754,CAÑITA 5 ESTRELLAS,9053,21436.27,23579.9,2.59,12.07,09/26/2025,21436.27,100
1849,SOMBRILLA,4248,17541.32,21225,2.12,14.18,09/26/2025,17541.32,100
109,BURGUER LA CHANCLA,1321,16586.18,18244.8,2,16.18,09/26/2025,16586.18,100
755,JARRA 5 ESTRELLAS,4167,16509.32,18160.25,1.99,18.18,09/26/2025,16509.32,100
129,MAHOU 33CL,5551,16145.5,17760.05,1.95,20.12,09/26/2025,16145.5,100
213,CAMA 1 DIA,555,16053.72,19425,1.94,22.06,09/26/2025,16053.72,100
1663,ALHAMBRA 1925,4165,13760.09,15136.1,1.66,23.72,09/26/2025,13760.09,100
1792,Bot. Agua Solan 50cl,7073,13662.23,15028.45,1.65,25.37,09/26/2025,13662.23,100
1805,PESCADO PLANCHA,948,13442.36,14786.6,1.62,26.99,09/25/2025,13442.36,100
100,SANDWICH CLUB,1174,13264.82,14591.3,1.6,28.59,09/26/2025,13264.82,100
727,WOK  POLLO,1069,13090.23,14399.25,1.58,30.17,09/26/2025,13090.23,100
381,MOJITO,1624,12385.59,13624.15,1.49,31.66,09/26/2025,12385.59,100
1660,NACHOS GOURMET,1058,11884.73,13073.2,1.43,33.1,09/26/2025,11884.73,100
1791,Bot. Agua Solan Con Gas 33cl,4491,9935.45,10929,1.2,34.29,09/26/2025,9935.45,100
656,BRAVAS,1134,9934.82,10928.3,1.2,35.49,09/26/2025,9934.82,100
93,ENSALADA CABRA,798,9565.5,10522.05,1.15,36.65,09/26/2025,9565.5,100
772,CROQUETAS,844,9494.36,10443.8,1.15,37.79,09/26/2025,9494.36,100
393,APEROL SPRITZ,1526,9011.36,9912.5,1.09,38.88,09/26/2025,9011.36,100
92,ENSALADA CESAR,743,8970.45,9867.5,1.08,39.96,09/26/2025,8970.45,100
1799,POLLO CAJÚN,988,8936.91,9830.6,1.08,41.04,09/25/2025,8936.91,100
1389,WOK SALMON,673,8918.5,9810.35,1.08,42.12,09/26/2025,8918.5,100
6,ZUMO NARANJA NAT. (Desay.),3376,8868.77,9755.65,1.07,43.19,09/26/2025,8868.77,100
1711,CRISPY CHICKEN,904,8177.09,8994.8,0.99,44.17,09/25/2025,8177.09,100
1804,LOMO ALTO,421,8018.14,8819.95,0.97,45.14,09/25/2025,8018.14,100
229,TINTO DE VERANO,3087,8002.64,8802.9,0.97,46.1,09/26/2025,8002.64,100
1800,BASTONES DE BONIATO,1171,7637.68,8401.45,0.92,47.03,09/26/2025,7637.68,100
876,ENSALADILLA RUSA,657,7573.77,8331.15,0.91,47.94,09/26/2025,7573.77,100
1488,MULTICEREAL,5240,7563.64,8320,0.91,48.85,09/26/2025,7563.64,100
1386,ENSALADA REFRESCANTE,586,7099.68,7809.65,0.86,49.71,09/25/2025,7099.68,100
1200,TARTAR DE ATUN ROJO,471,7098.59,7808.45,0.86,50.56,09/25/2025,7098.59,100
1768,COSTILLA DE CERDO,489,6915.05,7606.55,0.83,51.4,09/26/2025,6915.05,100
3,COLA ZERO,3815,6878.41,7566.25,0.83,52.23,09/26/2025,6878.41,100
769,TATAKI DE ATÚN,393,6665.77,7332.35,0.8,53.03,09/25/2025,6665.77,100
384,PIÑA COLADA,806,6418.82,7060.7,0.77,53.81,09/26/2025,6418.82,100
771,MINI-BURGUER CASERA TERNERA,1049,6339.59,6973.55,0.76,54.57,09/26/2025,6339.59,100
1487,RUSTICO,4606,6244.09,6868.5,0.75,55.33,09/26/2025,6244.09,100
95,ENSALADA TEMPLADA,490,6213.86,6835.25,0.75,56.07,09/26/2025,6213.86,100
153,CAPPUCCINO ITALIANO,2530,5937.45,6531.2,0.72,56.79,09/26/2025,5937.45,100
103,POLLO TIKA MASSALA,532,5747.27,6322,0.69,57.48,09/26/2025,5747.27,100
212,CAMA 1/2 DIA,225,5137.19,6216,0.62,58.1,09/26/2025,5137.19,100
1682,BEEFETER,757,5055.45,5561,0.61,58.71,09/22/2025,5055.45,100
1817,SUG_6 14.95,366,4964.5,5460.95,0.6,59.31,09/26/2025,4964.5,100
1,COCACOLA,3399,4863.82,5350.2,0.59,59.9,09/26/2025,4863.82,100
411,BARCELO AÑEJO,668,4761.82,5238,0.57,60.47,09/24/2025,4761.82,100
1495,JAMÓN IBÉRICO,2112,4756.82,5232.5,0.57,61.05,09/26/2025,4756.82,100
1874,Mar de seda copa,1485,4725,5197.5,0.57,61.62,09/26/2025,4725,100
1683,SEAGRANS,696,4662.27,5128.5,0.56,62.18,09/25/2025,4662.27,100
1590,UNIVERSAL,1277,4607.27,5068,0.56,62.74,09/26/2025,4607.27,100
106,MINI-TORTILLA,710,4485.91,4934.5,0.54,63.28,09/26/2025,4485.91,100
121,"HUEVOS, PATATAS, SETAS TRUFA",365,4436.14,4879.75,0.54,63.81,09/26/2025,4436.14,100
753,AGUA PARA LLEVAR 0.50 L,2271,4327.18,4759.9,0.52,64.33,09/26/2025,4327.18,100
776,ZUMO NARANJA NATURAL GRANDE,1151,4270.14,4697.15,0.52,64.85,09/26/2025,4270.14,100
1235,VERDEO COPA,1298,3953,4348.3,0.48,65.33,05/25/2025,3953,100
170,CAFÉ CON HIELO,1891,3951.82,4347,0.48,65.8,09/26/2025,3951.82,100
1808,"MAHOU 0,0 TOSTADA",1368,3881.95,4270.15,0.47,66.27,09/26/2025,3881.95,100
793,SANGRIA JARRA,907,3866.45,4678.4,0.47,66.74,09/26/2025,3866.45,100
148,ESPRESSO,2167,3857.82,4243.6,0.47,67.2,09/26/2025,3857.82,100
176,AMERICANO,2188,3854.64,4240.1,0.46,67.67,09/26/2025,3854.64,100
156,TÉ,1683,3797.73,4177.5,0.46,68.13,09/26/2025,3797.73,100
131,CORONITAS,1134,3774.55,4152,0.46,68.58,09/26/2025,3774.55,100
108,MENU INFANTIL,478,3693.64,4063,0.45,69.03,09/25/2025,3693.64,100
