Codigo,Descripcion,Unidades,Importe Total,Importe Total  I.I.,% Venta,% Acumu.,Fecha Ult.Vta.,Beneficio B.I.,% Ben.
,Sin Familias,,,,,,,,
ç,,360,-1645.85,-1810.44,100,100,09/26/2025,-1645.85,100
1758,Boniato Acomp,1370,0,0,0,100,09/26/2025,0,0
,REFRESCOS,,,,,,,,
1,COCACOLA,3399,4863.82,5350.2,9.26,9.26,09/26/2025,4863.82,100
2,FANTA NARANJA,687,1192.59,1311.85,2.27,11.53,09/26/2025,1192.59,100
3,COLA ZERO,3815,6878.41,7566.25,13.09,24.62,09/26/2025,6878.41,100
5,LIMONADA,32,10.5,11.55,0.02,24.64,09/24/2025,10.5,100
7,BATIDO DE FRESA,7,14.32,15.75,0.03,24.67,06/17/2025,14.32,100
8,COLA LIGHT,121,227.68,250.45,0.43,25.1,06/10/2025,227.68,100
10,RED BULL,97,134.18,147.6,0.26,25.36,09/23/2025,134.18,100
11,NESTEA LIMÓN,685,1405.95,1546.55,2.68,28.03,09/26/2025,-47229.05,-3359.22
13,NESTEA  MARACUYÁ,585,1239.86,1363.85,2.36,30.39,09/26/2025,1239.86,100
14,SPRITE,85,142.68,156.95,0.27,30.67,09/21/2025,142.68,100
15,FANTA LIMÓN,787,900.05,990.05,1.71,32.38,09/25/2025,900.05,100
16,TÓNICA SCHWEPPES,3715,1640.09,1804.1,3.12,35.5,09/25/2025,1640.09,100
18,CASERA,37,78.77,86.65,0.15,35.65,09/21/2025,78.77,100
20,AQUARIUS LIMÓN,1648,1131.05,1244.15,2.15,37.8,09/26/2025,1131.05,100
22,BITTER ROSSO,73,152.95,168.25,0.29,38.1,09/23/2025,152.95,100
24,AQUARIUS NARANJA,343,726.68,799.35,1.38,39.48,09/25/2025,726.68,100
25,AGUA MEDIANA,11,0,0,0,39.48,08/13/2025,0,0
546,ZUMO DE Manzana (minute maid),15,28.64,31.5,0.05,39.53,09/23/2025,28.64,100
547,ZUMO DE PIÑA,246,485.36,533.9,0.92,40.46,09/24/2025,485.36,100
548,ZUMO DE MELOCOTÓN,122,257.09,282.8,0.49,40.95,09/20/2025,257.09,100
549,ZUMO DE TOMATE,120,253.64,279,0.48,41.43,09/22/2025,253.64,100
560,TONICA FEVER,153,85.91,94.5,0.16,41.59,09/21/2025,85.91,100
567,BATIDO DE CHOCOLATE,313,638.18,702,1.21,42.81,09/25/2025,638.18,100
568,BATIDO DE VAINILLA,15,30.68,33.75,0.06,42.87,06/21/2025,30.68,100
583,GINGER ALE,126,188.95,207.85,0.36,43.23,09/26/2025,188.95,100
584,SODA,22,18.41,20.25,0.04,43.26,08/18/2025,18.41,100
668,TONICA NORDIC BLUE,1,0,0,0,43.26,08/08/2025,0,0
753,AGUA PARA LLEVAR 0.50 L,2273,4331.18,4764.3,8.24,51.51,09/26/2025,4331.18,100
1312,COLA ZERO ZERO,628,1023.05,1125.35,1.95,53.45,09/26/2025,1023.05,100
1420,SEVEN UP,527,459.36,505.3,0.87,54.33,09/25/2025,459.36,100
