"Codigo","Descripcion","Unidades","Importe Total","Importe Total  I.I.","% Venta","% Acumu.","Fecha Ult.Vta.","Beneficio B.I.","% Ben."
"","Sin Familias","","","","","","","",""
"ç","","340","-1,770.54","-1,947.59","100","100","29/09/2025","-1,770.54","100"
"1758","Boniato Acomp","1,054.00","0","0","0","100","29/09/2025","0","0"
"","REFRESCOS","","","","","","","",""
"1","COCACOLA","2,825.00","4,106.18","4,516.80","9.47","9.47","29/09/2025","4,106.18","100"
"2","FANTA NARANJA","578","1,000.68","1,100.75","2.31","11.78","28/09/2025","1,000.68","100"
"3","COLA ZERO","3,056.00","5,621.82","6,184.00","12.96","24.74","29/09/2025","5,621.82","100"
"5","LIMONADA","26","6.41","7.05","0.01","24.75","24/09/2025","6.41","100"
"7","BATIDO DE FRESA","1","2.05","2.25","0","24.76","17/06/2025","2.05","100"
"8","COLA LIGHT","69","131.55","144.7","0.3","25.06","10/06/2025","131.55","100"
"10","RED BULL","83","127.64","140.4","0.29","25.36","23/09/2025","127.64","100"
"11","NESTEA LIMÓN","547","1,124.68","1,237.15","2.59","27.95","29/09/2025","-37,712.32","-3,353.15"
"13","NESTEA  MARACUYÁ","512","1,091.27","1,200.40","2.52","30.47","29/09/2025","1,091.27","100"
"14","SPRITE","33","46.55","51.2","0.11","30.57","21/09/2025","46.55","100"
"15","FANTA LIMÓN","635","755","830.5","1.74","32.32","28/09/2025","755","100"
"16","TÓNICA SCHWEPPES","2,779.00","1,281.45","1,409.60","2.95","35.27","29/09/2025","1,281.45","100"
"18","CASERA","35","74.77","82.25","0.17","35.44","26/09/2025","74.77","100"
"20","AQUARIUS LIMÓN","1,547.00","925.09","1,017.60","2.13","37.58","29/09/2025","925.09","100"
"22","BITTER ROSSO","48","102","112.2","0.24","37.81","28/09/2025","102","100"
"24","AQUARIUS NARANJA","301","641.86","706.05","1.48","39.29","28/09/2025","641.86","100"
"25","AGUA MEDIANA","6","0","0","0","39.29","13/08/2025","0","0"
"546","ZUMO DE Manzana (minute maid)","16","32.73","36","0.08","39.37","27/09/2025","32.73","100"
"547","ZUMO DE PIÑA","188","381.14","419.25","0.88","40.25","28/09/2025","381.14","100"
"548","ZUMO DE MELOCOTÓN","91","193.86","213.25","0.45","40.69","28/09/2025","193.86","100"
"549","ZUMO DE TOMATE","98","208.73","229.6","0.48","41.17","28/09/2025","208.73","100"
"560","TONICA FEVER","116","49.09","54","0.11","41.29","28/09/2025","49.09","100"
"567","BATIDO DE CHOCOLATE","265","540","594","1.25","42.53","28/09/2025","540","100"
"568","BATIDO DE VAINILLA","2","4.09","4.5","0.01","42.54","21/06/2025","4.09","100"
"583","GINGER ALE","108","168.5","185.35","0.39","42.93","26/09/2025","168.5","100"
"584","SODA","9","2.05","2.25","0","42.93","18/08/2025","2.05","100"
"668","TONICA NORDIC BLUE","1","0","0","0","42.93","08/08/2025","0","0"
"753","AGUA PARA LLEVAR 0.50 L","2,174.00","4,198.82","4,618.70","9.68","52.62","29/09/2025","4,198.82","100"
"1312","COLA ZERO ZERO","470","777.86","855.65","1.79","54.41","28/09/2025","777.86","100"
"1420","SEVEN UP","421","424.86","467.35","0.98","55.39","27/09/2025","424.86","100"
"1442","AGUA PERRIER","13","0","0","0","55.39","27/09/2025","0","0"
"1610","Tonica zero","247","0","0","0","55.39","28/09/2025","0","0"
"1791","Bot. Agua Solan Con Gas 33cl","3,587.00","8,107.27","8,918.00","18.69","74.09","29/09/2025","8,107.27","100"
"1792","Bot. Agua Solan 50cl","5,500.00","10,902.00","11,992.20","25.14","99.22","29/09/2025","10,902.00","100"
"1837","TÓNICA ZERO SW","56","119.23","131.15","0.27","99.5","19/09/2025","119.23","100"
"1838","TÓNICA BERRY SW","76","152.86","168.15","0.35","99.85","28/09/2025","152.86","100"
"1894","Bot. Agua Solan TIEMPO","32","64","70.4","0.15","100","25/08/2025","64","100"
"1928","PICOTEO!!!","11","0","0","0","100","07/07/2025","0","0"
"1929","LIMPIAR!!!","1","0","0","0","100","25/06/2025","0","0"
"1940","LEVANTAR MESA","4","0","0","0","100","28/06/2025","0","0"
"","TARTAS Y POSTRES","","","","","","","",""
"719","GOFRE DE AZUCAR","82","313.09","344.4","4.18","4.18","28/09/2025","313.09","100"
"743","TARTA DE ZANAHORIA","139","870.05","957.05","11.61","15.79","28/09/2025","870.05","100"
"873","TARTA DE CHOCOLATE","80","503","553.3","6.71","22.5","29/09/2025","503","100"
"896","TARTA DE QUESO","175","1,097.09","1,206.80","14.64","37.14","28/09/2025","1,097.09","100"
"1260","sirope fresa","8","0","0","0","37.14","04/09/2025","0","0"
"1261","sirope caramelo","8","0","0","0","37.14","23/09/2025","0","0"
"1262","sirope chocolate","30","0","0","0","37.14","20/09/2025","0","0"
"1263","nutella","231","0","0","0","37.14","29/09/2025","0","0"
"1307","leche condensada","4","0","0","0","37.14","21/09/2025","0","0"
"1331","CREPES","230","878.18","966","11.72","48.86","29/09/2025","878.18","100"
"1354","TARTA DE SNIKER","48","301.23","331.35","4.02","52.88","24/09/2025","301.23","100"
"1371","BROWNIE CLASICO","307","1,928.45","2,121.30","25.73","78.62","28/09/2025","1,928.45","100"
"1430","BROWNIE LOTUS","220","1,372.64","1,509.90","18.32","96.93","29/09/2025","1,372.64","100"
"1473","ALMENDRA CROCANTI","83","44.18","48.6","0.59","97.52","28/09/2025","44.18","100"
"1625","dulce de leche","11","0","0","0","97.52","09/09/2025","0","0"
"1626","chocolate blanco","1","0","0","0","97.52","12/09/2025","0","0"
"1627","nata","59","0","0","0","97.52","28/09/2025","0","0"
"1629","Barquillo","1","0.36","0.4","0","97.53","12/05/2025","0.36","100"
"1631","NUECES","136","72","79.2","0.96","98.49","29/09/2025","72","100"
"1632","almendra crocanti","3","1.64","1.8","0.02","98.51","16/09/2025","1.64","100"
"1633","platano","36","19.64","21.6","0.26","98.77","29/09/2025","19.64","100"
"1634","fresa","97","52.91","58.2","0.71","99.48","23/09/2025","52.91","100"
"1635","VAINILLA VERACRUZ","42","38.18","42","0.51","99.99","28/09/2025","38.18","100"
"1652","SIROPE EXTRA","1","0.91","1","0.01","100","13/07/2025","0.91","100"
"","COMIDAS Y SNACKS","","","","","","","",""
"92","ENSALADA CESAR","593","7,424.55","8,167.00","3.79","3.79","29/09/2025","7,424.55","100"
"93","ENSALADA CABRA","606","7,573.82","8,331.20","3.86","7.65","28/09/2025","7,573.82","100"
"95","ENSALADA TEMPLADA","341","4,558.77","5,014.65","2.33","9.98","29/09/2025","4,558.77","100"
"97","Ingrediente Extra","22","20","22","0.01","9.99","14/09/2025","20","100"
"100","SANDWICH CLUB","949","11,041.41","12,145.55","5.63","15.62","29/09/2025","11,041.41","100"
